Produto;Quantidade;Unitario;Total;Venda Ano;Loja;Cidade
 Kit Aneethun Linha A - Shampoo/creme De Silicone/mascara ;53;158.99;8426.47;2808.82;https://perfil.mercadolivre.com.br/ETERNIA+COSM%C3%89TICOS;Nova Iguaçu, Rio de Janeiro.
 Aneethun Kinoa Máscara Hidratante 1 Kilo ;134;155.41;20824.94;5206.23;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Kit Anethun C/ Shampoo, Máscara, E Modelador De Cachos ;48;155.0;7440.0;1062.86;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Kit Aneethum Antiamarelamento Blond System - Black Friday ;48;155.0;7440.0;1062.86;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Máscara Capilar Aneethun Hidratação Intensiva 1 Kg ;14;119.0;1666.0;166.6;https://perfil.mercadolivre.com.br/SANREMOMAGAZINE;Catanduva, São Paulo.
 Aneethun Finalizador Termoativado Kera System 250g ;16;41.8;668.8;668.8;https://perfil.mercadolivre.com.br/THEBESTHAIRPROFESSIONAL;Atibaia, São Paulo.
 Kit Aneethun Blond System - Shampoo + Máscara - Black Friday ;25;119.95;2998.75;428.39;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Aneethun Shampoo 1l Linha A Queratina E Silicone ;20;110.0;2200.0;733.33;https://perfil.mercadolivre.com.br/ETERNIA+COSM%C3%89TICOS;Nova Iguaçu, Rio de Janeiro.
 Aneethun Máscara Capilar Linha A 1kg ;32;117.9;3772.8;471.6;https://perfil.mercadolivre.com.br/DUAL+COSM%C3%89TICOSS;Valentim Gentil, São Paulo.
 Aneethun Linha A Shampoo 1 Litro ;85;119.9;10191.5;2547.88;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Máscara Capilar Hidratação Intensiva Aneethun 1kg ;45;119.9;5395.5;2697.75;https://perfil.mercadolivre.com.br/ANGELDECORA%C3%87%C3%95ES;Ibitinga, São Paulo.
 Kit Antiqueda Aneethun Shampoo & Bálsamo ;24;125.0;3000.0;428.57;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Kit Aneethun Linha A - Shampoo 300ml + Máscara 500g ;13;110.99;1442.87;180.36;https://perfil.mercadolivre.com.br/F.W+COSM%C3%89TICOS;Bauru, São Paulo.
 Aneethun Linha A Shampoo 1 Litro ;85;119.9;10191.5;2547.88;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Aneethun Cera Texturizadora Style Profissional Forte 2 Seco ;49;68.9;3376.1;844.02;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Kit Aneethun Linha A - Creme De Silicone + Máscara 500g ;14;118.0;1652.0;206.5;https://perfil.mercadolivre.com.br/F.W+COSM%C3%89TICOS;Bauru, São Paulo.
 Kit Desamarelador Aneethun Blond System + Máscara Linha A ;47;176.9;8314.3;1662.86;https://perfil.mercadolivre.com.br/PURAMANIACOSMETICOS;Presidente Prudente, São Paulo.
 Aneethun Style Pomada Fiber Fixação Extra Forte 65g ;18;61.91;1114.38;557.19;https://perfil.mercadolivre.com.br/BB+COSMETICOS;São Paulo, São Paulo.
 Aneethun Creme De Silicone 250ml Linha A ;502;52.2;26204.4;6551.1;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Kit Age System Plástica Capilar Aneethun ;132;390.0;51480.0;10296.0;https://perfil.mercadolivre.com.br/PURAMANIACOSMETICOS;Presidente Prudente, São Paulo.
 Aneethun Kinoa Máscara Hidratante 1 Kilo ;134;155.41;20824.94;5206.23;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Kit Aneethun Linha A - Shampoo/creme De Silicone/mascara ;53;158.99;8426.47;2808.82;https://perfil.mercadolivre.com.br/ETERNIA+COSM%C3%89TICOS;Nova Iguaçu, Rio de Janeiro.
 Mascara Aneethun E Creme De Silicone ;54;108.0;5832.0;972.0;https://perfil.mercadolivre.com.br/WEB+COSMETICO;Bauru, São Paulo.
 Kit Aneethun Cronograma Antiquebra Elixir80ml E 4ampola10ml ;37;163.79;6060.23;1515.06;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Kit Annethun Matizador Blond System - Shampoo E Máscara. ;25;119.3;2982.5;426.07;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Aneethun Antiqueda Shampoo 230 Ml ;47;71.69;3369.43;842.36;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Kit Aneethun Profissional Máscara+shampoo+condicionador ;6;164.9;989.4;247.35;https://perfil.mercadolivre.com.br/STUDIOBELEZAWEB;Assis, São Paulo.
 Pomada Modeladora Aneethum Style Combo Com 2 (frete Grátis) ;45;145.0;6525.0;652.5;https://perfil.mercadolivre.com.br/SANREMOMAGAZINE;Catanduva, São Paulo.
 Aneethun Shampoo 1l Linha A Queratina E Silicone ;20;110.0;2200.0;733.33;https://perfil.mercadolivre.com.br/ETERNIA+COSM%C3%89TICOS;Nova Iguaçu, Rio de Janeiro.
